u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
42421728,42435337,0,195743153,Central Park West,secondary,25 mph,False,True,85.345,"LINESTRING (-73.9600437 40.7980478, -73.9601116 40.7979549, -73.9604229 40.7975294, -73.9604907 40.7974335, -73.9605349 40.7973764)",,,,,,,
42421728,42421731,0,"[420625565, 420625573, 5668966]",West 106th Street,secondary,,False,False,138.03300000000002,"LINESTRING (-73.9600437 40.7980478, -73.960166 40.7980991, -73.9601892 40.7981088, -73.9604229 40.7982075, -73.9607088 40.7983289, -73.9611061 40.7984943, -73.9613898 40.7986175, -73.9614745 40.7986542)",,,,,,,
42421728,42432736,0,"[1271523197, 1271523198]",Central Park West,secondary,25 mph,False,False,86.27499999999999,"LINESTRING (-73.9600437 40.7980478, -73.9599664 40.7981534, -73.9598317 40.7983246, -73.9595902 40.7986676, -73.9595472 40.7987264)",,,,,,,
42421731,42437916,0,5671485,Manhattan Avenue,residential,,False,True,86.149,"LINESTRING (-73.9614745 40.7986542, -73.9615364 40.7985694, -73.9619258 40.7980368, -73.96197 40.7979763)",,,,,,,
42421731,42432737,0,195743186,Manhattan Avenue,residential,,False,False,85.96799999999999,"LINESTRING (-73.9614745 40.7986542, -73.9614014 40.7987535, -73.9610129 40.7992819, -73.9609777 40.7993297)",,,,,,,
42421731,42421728,0,"[420625565, 5668966, 420625573]",West 106th Street,secondary,,False,True,138.033,"LINESTRING (-73.9614745 40.7986542, -73.9613898 40.7986175, -73.9611061 40.7984943, -73.9607088 40.7983289, -73.9604229 40.7982075, -73.9601892 40.7981088, -73.960166 40.7980991, -73.9600437 40.7980478)",,,,,,,
42421731,42421737,0,"[195743201, 420625570]",West 106th Street,secondary,,False,False,134.77100000000002,"LINESTRING (-73.9614745 40.7986542, -73.9615798 40.7986988, -73.9621333 40.7989327, -73.9626775 40.7991586, -73.9627461 40.7991884, -73.9628734 40.7992437)",,,,,,,
42421737,42421731,0,"[195743201, 420625570]",West 106th Street,secondary,,False,True,134.77100000000002,"LINESTRING (-73.9628734 40.7992437, -73.9627461 40.7991884, -73.9626775 40.7991586, -73.9621333 40.7989327, -73.9615798 40.7986988, -73.9614745 40.7986542)",,,,,,,
42421737,42437917,0,420625563,Columbus Avenue,primary,25 mph,True,False,85.99,"LINESTRING (-73.9628734 40.7992437, -73.9629411 40.7991518, -73.9633253 40.798629, -73.9633705 40.7985681)",3,,,,,,
42421737,42421741,0,420625567,West 106th Street,secondary,,False,True,271.351,"LINESTRING (-73.9628734 40.7992437, -73.963003 40.7992988, -73.9630191 40.7993056, -73.9644097 40.7998905, -73.9655938 40.8003886, -73.9656909 40.8004295)",2,,,,,,
42421741,42432756,0,"[957050578, 196116970]",Amsterdam Avenue,primary,,True,False,86.24000000000001,"LINESTRING (-73.9656909 40.8004295, -73.9656174 40.8005311, -73.965312 40.8009526, -73.9652365 40.8010529, -73.9651949 40.8011081)","['4', '3']",,,,,,
42421741,1061531654,0,"[420625569, 196117060, 420625564]",West 106th Street,secondary,,False,False,199.79500000000002,"LINESTRING (-73.9656909 40.8004295, -73.9658448 40.8004944, -73.9661491 40.8006204, -73.9673199 40.8011177, -73.9675993 40.8012339, -73.9676493 40.8012546, -73.9677649 40.8013033)",,,,,,,
